IMG,TROOP,STATION,DATE,"LOCATION","e_relation","e_cross_street",Town,county,VEHICLES STOPPED,FAULTY EQUIPMENT,W/O DRIVERS LICENSE,W/O REG CARD,TRAFFIC VIOLATION,WARNING NOTICES,verbal warnings,CITATIONS,CITATIONS/SECTION,1115,1301,1301a,1311,1332,1334,1336,1371,1372,1501,1501,1502,1504a,1505,1510,1511,1511a,1515,"1543",1543A,1543b,1571,1572,1574,1575,1781,1786,3102,3111,3112,3309,3310,3311,3314,3321,3322,3323,3332,3334,3352,3361,3362,3525,3709,3714,3715,3718,3736,3746,3802,3809,4107,4301,4303,4307,4523,4524,4525,4533,4536,4581,4581A,4582,4701,4702,4703,4703A,4706,4729,4730,4882,4903,4905,4925,4942,6308,6502,7101,7711,8306,NOTES
3128,L,Hamburg,10/31/2011,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,77,0,0,0,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,L,Hamburg,12/29/2011,"Old 22, approx 1 mile east of lehartsville Borough, Greenwich Twp Berks County",,,,,43,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Hamburg,1/9/2012,oh SR 183 just north of 178 Upper Tulpehocken Twp. Berks County,,,,,141,0,3,2,3,7,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Hamburg,2/28/2012,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,88,0,0,0,0,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,L,Hamburg,3/21/2012,"Old 22 at Frieden's Church, Greenwich Twp, Berks Co",,,,,44,0,0,0,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,L,Hamburg,4/30/2012,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,162,2,3,6,0,11,,6,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
3135,L,Hamburg,5/23/2012,on old route 22 area of Dreibelbis Station Rd.Greenwich Twp Berks Co,,,,,80,0,0,0,7,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 warnin: 1 seatbelt 2 unsigned reg 1 address change 3 insurance card infractions
,L,Hamburg,6/27/2012,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,48,0,1,0,0,3,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Hamburg,7/2/2012,"old 22 approx 1 mile east of lenhartsville Borough, Greenwich Twp, Berks Co",,,,,24,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Hamburg,8/21/2012,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,164,1,3,5,0,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,L,Hamburg,9/27/2012,on old route 22 area of Dreibelbis Station Rd.Greenwich Twp Berks Co,,,,,89,0,0,0,5,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Hamburg,10/6/2012,"Industrial Drive and Lowland Road, Tilden Twp, Berks Co",,,,,124,0,1,3,0,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Schuylkill Haven,1/21/2011,"SR 0443 at Friedensburg Fire Company, Wayne Township, Schuylkill County",,,,,86,0,0,0,0,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Schuylkill Haven,2/19/2011,SR 0183 @ Cressona Borough Hall Cressona Borough Schuylkill County,,,,,100,0,0,0,0,25,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,L,Schuylkill Haven,3/22/2011,SR 0443@ Entrance to Blue Mountain High School N Manhein Twp,,,,,120,0,0,0,0,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
3144,L,Schuylkill Haven,5/16/2011,SR 0901 approx 1/2 mile north of SR 183,,,,,225,0,0,0,0,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
,L,Schuylkill Haven,11/30/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3146,L,Schuylkill Haven,10/25/2011,"SR 443 @ Front St, Wayne Twp Schuylkill County",,,,,86,0,0,0,0,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 seatbelt warnings
3147,L,Schuylkill Haven,11/4/2011,"SR 443 @ Front Street, Village of Friedensburg, Wayne Twp",,,,,215,0,0,0,0,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
3148,L,Schuylkill Haven,1/28/2012,N/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,L,Schuylkill Haven,2/20/2012,"SR 443 at Blue Mountain High School, north Manheim Twp",,,,,80,2,3,1,0,6,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,L,Schuylkill Haven,3/19/2012,SR895 at the entrance to the Schuykill County Fairgrounds,,,,,40,0,3,8,0,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,L,Schuylkill Haven,4/12/2012,"SR 443 at the Friedensburg Fire Department, Wayne Twp",,,,,70,2,1,4,0,20,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"warnings were issued for seatbelt violations (14), equipment violations (2), and unsigned registration cards (4)"
3153,L,Schuylkill Haven,5/21/2012,"SR 443 at the Friedensburg Fire Department, Wayne Twp",,,,,55,5,1,0,0,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warnings were issued for seatbelt violations (7), expired inspection violations (5), failing to carry a DL (1), and failing to carry a valid insurance card (1)"
,L,Schuylkill Haven,6/29/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155,L,Schuylkill Haven,7/30/2012,"SR895 at the South Manheim Twp Building, South Manheim Twp",,,,,60,3,2,1,0,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"Warnings were issued for seatbelt violations (2), expired inspection violations (1), failing to carry a DL (2), illegal window tint (1), and failing to carry a valid insurance card (3)"
3156,L,Schuylkill Haven,8/31/2012,"SR895 at the Schuylkill County Fairgrounds, Wayne Twp",,,,,35,3,3,5,1,12,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
3157,L,Schuylkill Haven,9/14/2012,"SR 443 at the Blue Mountain High School, north Manheim Twp",,,,,45,2,3,3,1,10,,4,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3159,L,Schuylkill Haven,10/12/2012,"SR895 at the Schuylkill County Fairgrounds, Wayne Twp",,,,,22,1,1,0,5,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,Schuylkill Haven,11/23/2012,"SR443 at Friedensburg Fire Co., Wayne Twp, Schuylkill Co",,,,,68,0,0,0,0,41,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,1/10/2011,"Cheyney Road @ of Springlawn Road, Concord Twp",,,,,206,0,0,0,1,205,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,K,Media 4120,2/18/2011,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,137,2,1,2,1,166,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137 vehicles checked and issued a Click it or Ticket warning. In addition to the 5 above listed warnings and additional 24 verbal warnings for various cehicle code infractions were noted, ie, insurance cards, expired inspection, seatbelts, window tint, unsigned registration cards, window obstructions, etc"
3167,K,Media 4120,3/5/2011,"SR 1 (Media Bypass) @ Baltimore Pike, Middletown Twp",,,,,139,0,0,0,0,139,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"each operator was issued a ""Click-it or Ticket"" form before being directed to exit the checkpoint"
,K,Media 4120,4/9/2011,"Valleybrook Road 200"" north of Smithbridge Road, Chester Heights, Delaware County",,,,,91,0,0,0,0,91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,4/23/2011,"Cheyney Road @ of Springlawn Road, Concord Twp, Delaware County, PA",,,,,110,0,2,0,0,110,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3171,K,Media 4120,5/21/2011,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,89,0,1,1,0,89,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eighty nine vehicles issued a click it or ticket warning. An additional 12 verbal warnings for various vehicle code infractions were noted, ie, insurance cards, expired inspection, seatbelts, window tint, unsigned registration cards, window obstructions, etc"
3172,K,Media 4120,5/28/2011,Cheyney Road at Delaware County Prison,,,,,57,0,0,0,1,60,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"each operator was issued a ""Click-it or Ticket"" form before being directed to exit the checkpoint and continue along Cheyney Road."
3173,K,Media 4120,6/2/2011,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,366,0,0,0,0,428,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
3174,K,Media 4120,6/4/2011,"Valley Brook Road & Smith Bridge Road, Chester Heights, Delaware County",,,,,450,2,9,18,0,479,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,7/16/2011,"Penncrest High School, Barren Road and Van Leer Avenue, Middletown Township, Delaware County, Pennsylvania",,,,,120,0,1,0,0,120,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,7/16/2011,"Barren Road and Van Leer Avenue, Middletown Township, Delaware County, Pennsylvania",,,,,120,0,1,0,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3177,K,Media 4120,7/30/2011,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,330,0,1,2,0,7,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
3178,K,Media 4120,8/20/2011,"Valley Brook Road & Smith Bridge Road, Chester Heights, Delaware County",,,,,473,4,2,0,0,473,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tpr's made contact with 464 motorists and issued 458 click it or ticket warning notices. 4 warning notices were issued for inspection violations and 2 notices were issued for drivers not carrying their license, 9 warning notices were issued for drivers not wearing a seatbelt."
,K,Media 4120,9/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3180,K,Media 4120,10/21/2011,"Valleybrook Road by Smithbridge Road, Chester Heights Boro, Delco",,,,,86,1,3,1,1,12,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,11/19/2011,SR 352 in front of Granite Run Mall,,,,,124,0,6,4,0,14,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3182,K,Media 4120,11/25/2011,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,73,1,1,2,0,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Of the Seventy-three vehicles stopped 7 verbal warnings for various vehicle code infractions were noted, i.e., 2 not carrying current insurance card, 1 not carrying current registration card, 1 not wearing a seatbelt, 1 unsigned registration card, 1 license plate cover, 1 not displaying validation decal."
3183,K,Media 4120,12/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3184,K,Media 4120,4/12/2012,"Valleybrook Road, North of Smithbridge Road, Chester heights Boro, Delaware County",,,,,130,0,2,3,0,14,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
3185,K,Media 4120,5/25/2012,"Cheyney Road at Patricia Lane, Concord Township, Delaware County",,,,,200,0,1,0,0,192,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
,K,Media 4120,6/24/2012,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,148,0,2,2,0,11,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3187,K,Media 4120,7/30/2012,"Valleybrook Road, North of Smithbridge Road, Chester heights Boro, Delaware County",,,,,139,0,0,7,1,19,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
3188,K,Media 4120,8/24/2012,"Smithbridge Road, at Bethel Road, Concord Township, Delaware County",,,,,72,0,1,0,0,14,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,The location was selected because it is heavily traveled and lies within a school zone. 
3189,K,Media 4120,9/1/2012,"N. Middletown Road at Yearsley Mill Road, Middletown Twp, Delco",,,,,51,0,0,1,0,52,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All fifty-one vehicles received a ""Click it or Ticket"" Warning. "
,K,Media 4120,9/1/2012,"Valleybrook Road and Smithbridge Road, Chester Heights Borough, Delaware County",,,,,182,9,10,4,0,37,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,9/17/2012,"Smithbridge Road, at Bethel Road, Concord Township, Delaware County",,,,,191,3,7,9,0,41,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,9/21/2012,Valleybrook Road @ Smithbridge,,,,,137,0,2,0,0,0,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Media 4120,10/13/2012,"Patricia Lane and Cheyney Road, Concord Twp., Delaware Co. 21",,,,,115,0,3,6,0,23,,4,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,K,Media 4120,11/17/2012,"Valleybrook Road, North of Smithbridge Road, Chester heights Boro, Delaware County",,,,,162,0,6,11,2,37,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
3197,k,Media 4120,11/21/2012,"SR1 SV, 1/2 mile north of SR 352 (Bypass Road)",,,,,54,0,0,0,0,13,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,3,,,,,held in conjunction with click it or ticket
,K,Skippack,1/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,2/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,3/30/2011,"SR29 and Trappe Road, Perkiomen Twp",,,,,50,0,1,3,0,16,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,K,Skippack,4/18/2011,"Old Skippack Road just north of Shelly Road, Upper Salford Twp",,,,,63,0,3,6,0,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 - warnings for not providing current registration cards, 6 warning for not providing current insurance cards, 4 - warning for an unsigned registration card, 3 - warnings for not carrying drivers license"
,K,Skippack,5/25/2011,"Rt 29 at Trappe Road, Perkiomen Twp",,,,,43,0,2,3,0,17,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 warnings for not providing current registration cards, 1 warning for not providing current insurance cards, 4 warning for unsigned registration card, 2 warnings for not carrying drivers license, 5 warnings not wearing seatbelts, 1 warning for an expired inspection, 1 warning for failure to update address with PEnnDOT. "
,K,Skippack,6/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205,K,Skippack,7/18/2011,"Marshall Street and Arch Street, Norristown Borough, Montgomery County",,,,,150,UNK,UNK,UNK,UNK,30,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On 7/18/11 PSP  Skippack assisted Norristown Borough PD with a regulatory checkpoint at the above location. This checkpoint was held in a location identified by Norristown Borough PD as a problem area for speeding motorists. All citations were issued and/or filed by Norristown Borough PD. All vehicles were systematically stopped by PSP Skippack members and directed to a safe area where Norristown Borough PD interviewerd the operators Reference K03-1792595 Assist Other Police Incident number assigned to Trooper Richard SANZICK.
3206,K,Skippack,8/31/2011,"782 Old Skippack Pike, Upper Salford Twp",,,,,38,0,1,3,0,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,9/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,K,Skippack,10/18/2011,"SR 29 @ Trappe Road, Perkiomen Township",,,,,45,0,2,6,0,5,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 warnings for not wearing seatbelts, 6 warnings for not having current insurance cards, 2 CMVs were inspected by Trp Watts"
,K,Skippack,11/25/2011,"Tagart Road, Upper Hanover Twp, Montgomery County",,,,,25,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"location 2 miles sw of high risk crash area, motorists advised of speeds, township mamager was advised of detail"
,K,Skippack,12/1/2011,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,K,Skippack,1/28/2012,"SR 29 @ Trappe Road, Perkiomen Township",,,,,24,1,5,0,8,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 arrest for DUI, Drug and Paraphanalia possession, 1 arrest for Drug possession"
3212,K,Skippack,2/25/2012,"Main Street (SR29) at 7th St, Red Hill Boro",,,,,53,0,1,10,0,15,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,3/1/2012,N/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,K,Skippack,4/27/2012,"126 Ridge Road, Salford Twp, Montgomery County",,,,,88,2,1,1,0,4,,4,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,K,Skippack,5/23/2012,"SR 663 and Oak Road, Upper Hanover Twp, Montgomery County",,,,,166,4,3,2,0,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,6/1/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217,K,Skippack,8/20/2012,"montgomery ave and 8th Street, Pennsburg Borough, Montgomery County",,,,,85,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location selected based on request of Pennsburg Borough police due to their enforcmeent observations and resident complaints
3218,K,Skippack,9/27/2012,"Old Forty Food Road, North of Route 73, Skippack Twp",,,,,41,0,3,3,0,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 - seatbelt warning, 3 - warnings for expired registration card, 6 - warnings for not carrying valid insurance cards, 3 - warnings for not carrying drivers license, 1 - warnings for an expired inspection/emissions"
,K,Skippack,10/1/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K,Skippack,11/1/2012,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Butler 1410,1/16/2010,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Butler 1410,2/13/2010,n/a,,,,,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
